Shards,Payload(Bytes),CrossRate,Transacoes,TPS,Latencia(ms)
1,20,0,10000,122806.00,1.23
1,200,0,10000,154983.00,0.77
1,1024,0,10000,181427.00,0.59
1,2048,0,10000,172816.00,0.26
1,4096,0,10000,181172.00,0.49
1,8192,0,10000,134490.00,1.57
1,16384,0,10000,161968.00,1.21
2,20,0,10000,129156.00,1.02
2,200,0,10000,139761.00,0.64
2,1024,0,10000,122971.00,1.15
2,2048,0,10000,160518.00,0.82
2,4096,0,10000,147302.00,0.48
2,8192,0,10000,130088.00,0.60
2,16384,0,10000,179541.00,0.44
3,20,0,10000,189226.00,0.74
3,200,0,10000,197000.00,0.54
3,1024,0,10000,154876.00,0.85
3,2048,0,10000,147415.00,0.89
3,4096,0,10000,160422.00,1.23
3,8192,0,10000,186307.00,0.78
3,16384,0,10000,145694.00,0.42
4,20,0,10000,148988.00,0.69
4,200,0,10000,167094.00,0.54
4,1024,0,10000,170514.00,1.11
4,2048,0,10000,142242.00,0.55
4,4096,0,10000,156976.00,0.99
4,8192,0,10000,171456.00,1.02
4,16384,0,10000,164336.00,1.67
1,20,0,50000,181610.00,0.62
1,200,0,50000,258337.00,1.32
1,1024,0,50000,215676.00,0.60
1,2048,0,50000,213278.00,0.26
1,4096,0,50000,222718.00,0.32
1,8192,0,50000,211064.00,0.31
1,16384,0,50000,236738.00,0.33
2,20,0,50000,191679.00,0.44
2,200,0,50000,214299.00,0.30
2,1024,0,50000,237387.00,0.47
2,2048,0,50000,272104.00,0.49
2,4096,0,50000,238163.00,0.42
2,8192,0,50000,250720.00,0.51
2,16384,0,50000,246426.00,0.47
3,20,0,50000,248275.00,0.49
3,200,0,50000,230866.00,0.28
3,1024,0,50000,209115.00,0.47
3,2048,0,50000,207700.00,0.28
3,4096,0,50000,206394.00,0.59
3,8192,0,50000,216888.00,0.43
3,16384,0,50000,203715.00,0.38
4,20,0,50000,190681.00,0.40
4,200,0,50000,184267.00,0.49
4,1024,0,50000,200604.00,0.66
4,2048,0,50000,183205.00,0.42
4,4096,0,50000,178100.00,0.56
4,8192,0,50000,207756.00,0.39
4,16384,0,50000,209521.00,0.29
1,20,0,100000,299497.00,0.82
1,200,0,100000,248723.00,0.34
1,1024,0,100000,242937.00,0.32
1,2048,0,100000,206514.00,0.35
1,4096,0,100000,260768.00,0.25
1,8192,0,100000,266070.00,0.32
1,16384,0,100000,252441.00,0.32
2,20,0,100000,230872.00,0.27
2,200,0,100000,342363.00,0.41
2,1024,0,100000,344912.00,0.70
2,2048,0,100000,219348.00,0.37
2,4096,0,100000,240332.00,0.22
2,8192,0,100000,231795.00,0.25
2,16384,0,100000,252062.00,0.36
3,20,0,100000,231571.00,0.30
3,200,0,100000,354732.00,0.63
3,1024,0,100000,253965.00,0.35
3,2048,0,100000,220319.00,0.39
3,4096,0,100000,273868.00,0.34
3,8192,0,100000,236820.00,0.39
3,16384,0,100000,229035.00,0.81
4,20,0,100000,206285.00,0.28
4,200,0,100000,239001.00,0.33
4,1024,0,100000,258752.00,0.47
4,2048,0,100000,238943.00,0.30
4,4096,0,100000,236677.00,0.52
4,8192,0,100000,329151.00,1.41
4,16384,0,100000,293834.00,0.52
1,20,0,100000,222581.00,0.48
1,200,0,100000,215106.00,0.30
1,1024,0,100000,226860.00,0.33
1,2048,0,100000,246902.00,0.38
1,4096,0,100000,305852.00,0.27
1,8192,0,100000,262334.00,0.58
1,16384,0,100000,234890.00,0.33
2,20,0,100000,251167.00,0.26
2,20,0.1,100000,236875.00,0.41
2,20,0.2,100000,224246.00,2.08
2,20,0.3,100000,214465.00,0.92
2,200,0,100000,219092.00,0.25
2,200,0.1,100000,219749.00,0.48
2,200,0.2,100000,268313.00,0.66
2,200,0.3,100000,219118.00,0.78
2,1024,0,100000,297326.00,0.26
2,1024,0.1,100000,296927.00,0.44
2,1024,0.2,100000,322366.00,0.89
2,1024,0.3,100000,244818.00,0.90
2,2048,0,100000,232609.00,0.46
2,2048,0.1,100000,265937.00,0.68
2,2048,0.2,100000,242980.00,0.61
2,2048,0.3,100000,212101.00,0.69
2,4096,0,100000,230109.00,0.31
2,4096,0.1,100000,333281.00,0.77
2,4096,0.2,100000,234838.00,0.68
2,4096,0.3,100000,266948.00,1.24
2,8192,0,100000,208517.00,0.33
2,8192,0.1,100000,251749.00,0.52
2,8192,0.2,100000,225961.00,0.71
2,8192,0.3,100000,229013.00,0.88
2,16384,0,100000,322014.00,0.37
2,16384,0.1,100000,257326.00,0.45
2,16384,0.2,100000,222425.00,0.73
2,16384,0.3,100000,222667.00,0.85
3,20,0,100000,262225.00,0.33
3,20,0.1,100000,220309.00,0.62
3,20,0.2,100000,231307.00,1.20
3,20,0.3,100000,193414.00,1.30
3,200,0,100000,215658.00,0.30
3,200,0.1,100000,216071.00,1.20
3,200,0.2,100000,229754.00,0.92
3,200,0.3,100000,213336.00,1.22
3,1024,0,100000,237478.00,0.29
3,1024,0.1,100000,214796.00,0.52
3,1024,0.2,100000,181555.00,0.81
3,1024,0.3,100000,230700.00,1.19
3,2048,0,100000,223705.00,0.28
3,2048,0.1,100000,198515.00,0.57
3,2048,0.2,100000,193205.00,0.63
3,2048,0.3,100000,208297.00,1.19
3,4096,0,100000,207452.00,0.26
3,4096,0.1,100000,202262.00,0.78
3,4096,0.2,100000,217640.00,1.16
3,4096,0.3,100000,170060.00,1.20
3,8192,0,100000,289797.00,0.39
3,8192,0.1,100000,253822.00,3.25
3,8192,0.2,100000,234221.00,1.19
3,8192,0.3,100000,228395.00,1.28
3,16384,0,100000,238460.00,0.36
3,16384,0.1,100000,190429.00,0.79
3,16384,0.2,100000,227679.00,1.05
3,16384,0.3,100000,201205.00,1.26
4,20,0,100000,303283.00,0.41
4,20,0.1,100000,203937.00,0.57
4,20,0.2,100000,213392.00,1.15
4,20,0.3,100000,205342.00,2.80
4,200,0,100000,320031.00,0.64
4,200,0.1,100000,218220.00,0.72
4,200,0.2,100000,195111.00,1.06
4,200,0.3,100000,191301.00,1.82
4,1024,0,100000,183125.00,1.14
4,1024,0.1,100000,234404.00,0.53
4,1024,0.2,100000,182601.00,1.07
4,1024,0.3,100000,166828.00,1.29
4,2048,0,100000,271450.00,0.42
4,2048,0.1,100000,197687.00,0.76
4,2048,0.2,100000,259294.00,1.63
4,2048,0.3,100000,161980.00,1.26
4,4096,0,100000,249172.00,0.31
4,4096,0.1,100000,193142.00,0.63
4,4096,0.2,100000,219995.00,1.15
4,4096,0.3,100000,159777.00,1.50
4,8192,0,100000,225393.00,0.41
4,8192,0.1,100000,197267.00,0.55
4,8192,0.2,100000,201213.00,1.10
4,8192,0.3,100000,201392.00,1.79
4,16384,0,100000,238681.00,0.46
4,16384,0.1,100000,211975.00,0.68
4,16384,0.2,100000,203907.00,1.09
4,16384,0.3,100000,185445.00,2.23

NOTEBOOK
1,200,0,100000,4233.14,16660.80
